Region,ISO3Code,OfficialName
Low income,YEM,Yemen
Upper middle income,ZAF,South Africa
Lower middle income,ZMB,Zambia
Lower middle income,ZWE,Zimbabwe
Low and middle income,AFG,Afghanistan
Low and middle income,AGO,Angola
Low and middle income,ALB,Albania
Low and middle income,ARG,Argentina
Low and middle income,ARM,Armenia
Low and middle income,AZE,Azerbaijan
Low and middle income,BDI,Burundi
Low and middle income,BEN,Benin
Low and middle income,BFA,Burkina Faso
Low and middle income,BGD,Bangladesh
Low and middle income,BIH,Bosnia and Herzegovina
Low and middle income,BLR,Belarus
Low and middle income,BLZ,Belize
Low and middle income,BOL,Bolivia (Plurinational State of)
Low and middle income,BRA,Brazil
Low and middle income,BTN,Bhutan
Low and middle income,BWA,Botswana
Low and middle income,CAF,Central African Republic
Low and middle income,CHN,China
Low and middle income,CIV,Côte d'Ivoire
Low and middle income,CMR,Cameroon
Low and middle income,COD,Democratic Republic of the Congo
Low and middle income,COG,Congo
Low and middle income,COL,Colombia
Low and middle income,COM,Comoros
Low and middle income,CPV,Cabo Verde
Low and middle income,CUB,Cuba
Low and middle income,DJI,Djibouti
Low and middle income,DMA,Dominica
Low and middle income,DOM,Dominican Republic
Low and middle income,DZA,Algeria
Low and middle income,ECU,Ecuador
Low and middle income,EGY,Egypt
Low and middle income,ERI,Eritrea
Low and middle income,FJI,Fiji
Low and middle income,FSM,Micronesia (Federated States of)
Low and middle income,GAB,Gabon
Low and middle income,GEO,Georgia
Low and middle income,GHA,Ghana
Low and middle income,GIN,Guinea
Low and middle income,GMB,Gambia
Low and middle income,GNB,Guinea-Bissau
Low and middle income,GNQ,Equatorial Guinea
Low and middle income,GRD,Grenada
Low and middle income,GTM,Guatemala
Low and middle income,HND,Honduras
Low and middle income,HTI,Haiti
Low and middle income,IDN,Indonesia
Low and middle income,IND,India
Low and middle income,IRN,Iran (Islamic Republic of)
Low and middle income,IRQ,Iraq
Low and middle income,JAM,Jamaica
Low and middle income,JOR,Jordan
Low and middle income,KAZ,Kazakhstan
Low and middle income,KEN,Kenya
Low and middle income,KGZ,Kyrgyzstan
Low and middle income,KHM,Cambodia
Low and middle income,KIR,Kiribati
Low and middle income,LAO,Lao People's Democratic Republic
Low and middle income,LBN,Lebanon
Low and middle income,LBR,Liberia
Low and middle income,LBY,Libya
Low and middle income,LCA,Saint Lucia
Low and middle income,LKA,Sri Lanka
Low and middle income,LSO,Lesotho
Low and middle income,MAR,Morocco
Low and middle income,MDA,Republic of Moldova
Low and middle income,MDG,Madagascar
Low and middle income,MDV,Maldives
Low and middle income,MEX,Mexico
Low and middle income,MHL,Marshall Islands
Low and middle income,MKD,North Macedonia
Low and middle income,MLI,Mali
Low and middle income,MMR,Myanmar
Low and middle income,MNE,Montenegro
Low and middle income,MNG,Mongolia
Low and middle income,MOZ,Mozambique
Low and middle income,MRT,Mauritania
Low and middle income,MUS,Mauritius
Low and middle income,MWI,Malawi
Low and middle income,MYS,Malaysia
Low and middle income,NAM,Namibia
Low and middle income,NER,Niger
Low and middle income,NGA,Nigeria
Low and middle income,NIC,Nicaragua
Low and middle income,NPL,Nepal
Low and middle income,PAK,Pakistan
Low and middle income,PER,Peru
Low and middle income,PHL,Philippines
Low and middle income,PNG,Papua New Guinea
Low and middle income,PRK,Democratic People's Republic of Korea
Low and middle income,PRY,Paraguay
Low and middle income,PSE,State of Palestine
Low and middle income,RKS,Kosovo (UNSCR 1244)
Low and middle income,RWA,Rwanda
Low and middle income,SDN,Sudan
Low and middle income,SEN,Senegal
Low and middle income,SLB,Solomon Islands
Low and middle income,SLE,Sierra Leone
Low and middle income,SLV,El Salvador
Low and middle income,SOM,Somalia
Low and middle income,SRB,Serbia
Low and middle income,SSD,South Sudan
Low and middle income,STP,Sao Tome and Principe
Low and middle income,SUR,Suriname
Low and middle income,SWZ,Eswatini
Low and middle income,SYR,Syrian Arab Republic
Low and middle income,TCD,Chad
Low and middle income,TGO,Togo
Low and middle income,THA,Thailand
Low and middle income,TJK,Tajikistan
Low and middle income,TKM,Turkmenistan
Low and middle income,TLS,Timor-Leste
Low and middle income,TON,Tonga
Low and middle income,TUN,Tunisia
Low and middle income,TUR,Türkiye
Low and middle income,TUV,Tuvalu
Low and middle income,TZA,United Republic of Tanzania
Low and middle income,UGA,Uganda
Low and middle income,UKR,Ukraine
Low and middle income,UZB,Uzbekistan
Low and middle income,VCT,Saint Vincent and the Grenadines
Low and middle income,VNM,Viet Nam
Low and middle income,VUT,Vanuatu
Low and middle income,WSM,Samoa
Low and middle income,YEM,Yemen
Low and middle income,ZAF,South Africa
Low and middle income,ZMB,Zambia
Low and middle income,ZWE,Zimbabwe
